"Subplot","Transect","Species","X","Y","Per","Date","Year","Day","Basal_cm","Ht_m","Damage","Alive","Found","Topkilled","Fire","Herbivory","Grass"
"FS03","Four Seasons","ACASEN",714431,9753751,"Aug 2017","8/22/2017",2018,569,NA,NA,NA,NA,0,NA,0,0,NA
"FS03","Four Seasons","ACASEN",714431,9753751,"Dec 2017","12/17/2017",2018,686,NA,NA,1,0,1,1,0,0,NA
"FS03","Four Seasons","ACASEN",714431,9753751,"May 2018","5/30/2018",2018,850,0,0,1,0,1,1,0,0,411.701267879846
"FS03","Four Seasons","ACASEN",714431,9753751,"Oct 2018","10/13/2018",2019,986,0,0,1,0,1,0,0,0,82.5812808191056
"FS03","Four Seasons","ACASEN",714431,9753751,"Feb 2019","1/30/2019",2019,1095,0,0,1,0,1,0,0,0,1116.10303608513
"FS03","Four Seasons","ACASEN",714431,9753751,"Jun 2019","6/3/2019",2019,1219,0,0,1,0,1,0,0,0,151.466721966068
"FS04","Four Seasons","ACATOR",714416,9753772,"Initial","10/2/2016",2017,246,1.15,0.12,NA,1,1,1,NA,NA,NA
"FS04","Four Seasons","ACATOR",714416,9753772,"Feb 2017","2/18/2017",2017,384,0.6,0.2,0,1,1,0,0,0,NA
"FS04","Four Seasons","ACATOR",714416,9753772,"May 2017","5/1/2017",2017,456,0.65,0.26,0,1,1,0,0,0,NA
"FS04","Four Seasons","ACATOR",714416,9753772,"Aug 2017","8/22/2017",2018,569,0.67,0.15,1,1,1,1,0,0,NA
"FS04","Four Seasons","ACATOR",714416,9753772,"Dec 2017","12/17/2017",2018,686,0.72,0.24,0,1,1,0,0,0,NA
"FS04","Four Seasons","ACATOR",714416,9753772,"May 2018","5/30/2018",2018,850,0.81,0.57,0,1,1,0,0,0,389.469080829671
"FS04","Four Seasons","ACATOR",714416,9753772,"Oct 2018","10/13/2018",2019,986,1.1,0.36,0,1,1,0,0,0,403.730067354778
"FS04","Four Seasons","ACATOR",714416,9753772,"Feb 2019","1/30/2019",2019,1095,1.35,0.52,0,1,1,0,0,0,755.307026664412
"FS04","Four Seasons","ACATOR",714416,9753772,"Jun 2019","6/3/2019",2019,1219,0.25,0.14,1,1,1,0,8,0,114.941969562645
"FS05","Four Seasons","COMAFR",714402,9753798,"Initial","10/2/2016",2017,246,NA,NA,NA,1,1,1,NA,NA,NA
"FS05","Four Seasons","COMAFR",714402,9753798,"Feb 2017","2/18/2017",2017,384,0.9,0.17,0,1,1,0,0,0,NA
"FS05","Four Seasons","COMAFR",714402,9753798,"May 2017","5/1/2017",2017,456,0.96,0.25,0,1,1,0,0,0,NA
"FS05","Four Seasons","COMAFR",714402,9753798,"Aug 2017","8/22/2017",2018,569,0.96,0.27,0,1,1,0,0,0,NA
"FS05","Four Seasons","COMAFR",714402,9753798,"Dec 2017","12/17/2017",2018,686,1.04,0.23,1,1,1,1,0,0,NA
"FS05","Four Seasons","COMAFR",714402,9753798,"May 2018","5/30/2018",2018,850,1.35,0.37,0,1,1,0,0,0,636.783420714134
"FS05","Four Seasons","COMAFR",714402,9753798,"Oct 2018","10/13/2018",2019,986,1.65,0.31,0,1,1,0,0,0,357.977588526848
"FS05","Four Seasons","COMAFR",714402,9753798,"Feb 2019","1/30/2019",2019,1095,0.58,0.4,0,1,1,0,0,0,1899.40225701204
"FS05","Four Seasons","COMAFR",714402,9753798,"Jun 2019","6/3/2019",2019,1219,0.43,0.11,1,1,1,0,5,0,173.15167588215
"FS06","Four Seasons","ALBHAR",714396,9753815,"Initial","10/2/2016",2017,246,NA,0.03,NA,1,1,1,NA,NA,NA
"FS06","Four Seasons","ALBHAR",714396,9753815,"Feb 2017","2/18/2017",2017,384,NA,NA,0,1,1,0,0,0,NA
"FS06","Four Seasons","ALBHAR",714396,9753815,"May 2017","5/1/2017",2017,456,0.25,0.08,0,1,1,1,0,0,NA
"FS06","Four Seasons","ALBHAR",714396,9753815,"Aug 2017","8/22/2017",2018,569,0.32,0.05,1,1,1,1,0,0,NA
"FS06","Four Seasons","ALBHAR",714396,9753815,"Dec 2017","12/17/2017",2018,686,0.22,0.13,1,1,1,1,0,0,NA
"FS06","Four Seasons","ALBHAR",714396,9753815,"May 2018","5/30/2018",2018,850,0.42,0.18,0,1,1,0,0,0,231.276374203072
"FS06","Four Seasons","ALBHAR",714396,9753815,"Oct 2018","10/13/2018",2019,986,0.36,0.13,0,1,1,0,0,0,240.168503141362
"FS06","Four Seasons","ALBHAR",714396,9753815,"Feb 2019","1/30/2019",2019,1095,0.45,0.2,0,1,1,0,0,0,800.348119528122
"FS06","Four Seasons","ALBHAR",714396,9753815,"Jun 2019","6/3/2019",2019,1219,0.02,0.04,1,1,1,1,8,0,126.112082322171
"FS07","Four Seasons","COMAFR",714414,9753830,"Initial","10/2/2016",2017,246,0.31,0.04,NA,1,1,1,NA,NA,NA
"FS07","Four Seasons","COMAFR",714414,9753830,"Feb 2017","2/18/2017",2017,384,0.6,0.1,0,1,1,0,0,0,NA
"FS07","Four Seasons","COMAFR",714414,9753830,"May 2017","5/1/2017",2017,456,0.59,0.1,0,1,1,0,0,0,NA
"FS07","Four Seasons","COMAFR",714414,9753830,"Aug 2017","8/22/2017",2018,569,0.25,0.04,1,1,1,1,0,0,NA
"FS07","Four Seasons","COMAFR",714414,9753830,"Dec 2017","12/17/2017",2018,686,0.54,0.21,0,1,1,0,0,0,NA
"FS07","Four Seasons","COMAFR",714414,9753830,"May 2018","5/30/2018",2018,850,0.91,0.39,0,1,1,0,0,0,289.034644998038
"FS07","Four Seasons","COMAFR",714414,9753830,"Oct 2018","10/13/2018",2019,986,0.83,0.6,0,1,1,0,0,0,230.687384180255
"FS07","Four Seasons","COMAFR",714414,9753830,"Feb 2019","1/30/2019",2019,1095,0.95,0.65,0,1,1,0,0,0,300.508155121963
"FS07","Four Seasons","COMAFR",714414,9753830,"Jun 2019","6/3/2019",2019,1219,0.25,0.05,1,1,1,1,9,0,162.898012938539
"FS08","Four Seasons","COMAFR",714411,9753841,"Initial","10/2/2016",2017,246,0.3,0.03,NA,1,1,1,NA,NA,NA
"FS08","Four Seasons","COMAFR",714411,9753841,"Feb 2017","2/18/2017",2017,384,0.44,0.1,1,1,1,1,NA,0,NA
"FS08","Four Seasons","COMAFR",714411,9753841,"May 2017","5/1/2017",2017,456,0.51,0.22,0,1,1,0,0,0,NA
"FS08","Four Seasons","COMAFR",714411,9753841,"Aug 2017","8/22/2017",2018,569,0.78,0.16,1,1,1,1,0,0,NA
"FS08","Four Seasons","COMAFR",714411,9753841,"Dec 2017","12/17/2017",2018,686,0.64,0.13,1,1,1,1,0,0,NA
"FS08","Four Seasons","COMAFR",714411,9753841,"May 2018","5/30/2018",2018,850,0.74,0.37,0,1,1,0,0,0,451.222202708205
"FS08","Four Seasons","COMAFR",714411,9753841,"Oct 2018","10/13/2018",2019,986,0,0,1,0,1,0,0,0,225.875013019047
"FS08","Four Seasons","COMAFR",714411,9753841,"Feb 2019","1/30/2019",2019,1095,0.6,0.48,0,1,1,0,0,0,637.537167693145
"FS08","Four Seasons","COMAFR",714411,9753841,"Jun 2019","6/3/2019",2019,1219,0.26,0.15,1,1,1,0,7,0,115.466616082157
"FS09","Four Seasons","ACATOR",714377,9753827,"Initial","10/2/2016",2017,246,0.33,0.1,NA,1,1,1,NA,NA,NA
"FS09","Four Seasons","ACATOR",714377,9753827,"Feb 2017","2/18/2017",2017,384,0.44,0.15,0,1,1,0,0,0,NA
"FS09","Four Seasons","ACATOR",714377,9753827,"May 2017","5/1/2017",2017,456,0.44,0.19,0,1,1,0,0,0,NA
"FS09","Four Seasons","ACATOR",714377,9753827,"Aug 2017","8/22/2017",2018,569,NA,NA,1,0,1,1,0,0,NA
"FS09","Four Seasons","ACATOR",714377,9753827,"Dec 2017","12/17/2017",2018,686,NA,NA,1,0,1,1,0,0,NA
"FS09","Four Seasons","ACATOR",714377,9753827,"May 2018","5/30/2018",2018,850,0,0,1,0,1,1,0,0,414.977937415783
"FS09","Four Seasons","ACATOR",714377,9753827,"Oct 2018","10/13/2018",2019,986,0,0,1,0,1,0,0,0,131.804809258108
"FS09","Four Seasons","ACATOR",714377,9753827,"Feb 2019","1/30/2019",2019,1095,0,0,1,0,1,0,0,0,534.726818024981
"FS09","Four Seasons","ACATOR",714377,9753827,"Jun 2019","6/3/2019",2019,1219,0,0,1,0,1,0,0,0,78.7857081178972
"FS10","Four Seasons","COMAFR",714375,9753843,"Initial","10/2/2016",2017,246,0.29,0.13,NA,1,1,1,NA,NA,NA
"FS10","Four Seasons","COMAFR",714375,9753843,"Feb 2017","2/18/2017",2017,384,0.5,0.1,0,1,1,0,0,0,NA
"FS10","Four Seasons","COMAFR",714375,9753843,"May 2017","5/1/2017",2017,456,0.52,0.22,0,1,1,0,0,0,NA
"FS10","Four Seasons","COMAFR",714375,9753843,"Aug 2017","8/22/2017",2018,569,0.57,0.21,0,1,1,0,0,0,NA
"FS10","Four Seasons","COMAFR",714375,9753843,"Dec 2017","12/17/2017",2018,686,0.17,0.27,1,1,1,1,0,0,NA
"FS10","Four Seasons","COMAFR",714375,9753843,"May 2018","5/30/2018",2018,850,1,0.38,0,1,1,0,0,0,642.248708565824
"FS10","Four Seasons","COMAFR",714375,9753843,"Oct 2018","10/13/2018",2019,986,2.06,0.36,0,1,1,0,0,0,208.613233255092
"FS10","Four Seasons","COMAFR",714375,9753843,"Feb 2019","1/30/2019",2019,1095,2.08,0.32,0,1,1,0,0,0,338.850074866213
"FS10","Four Seasons","COMAFR",714375,9753843,"Jun 2019","6/3/2019",2019,1219,0.53,0.18,0,1,1,0,0,0,212.534449659303
"FS11","Four Seasons","DICCIN",714382,9753888,"Initial","10/2/2016",2017,246,0.21,0.17,NA,1,1,1,NA,NA,NA
"FS11","Four Seasons","DICCIN",714382,9753888,"Feb 2017","2/18/2017",2017,384,0.31,0.21,0,1,1,0,0,0,NA
"FS11","Four Seasons","DICCIN",714382,9753888,"May 2017","5/1/2017",2017,456,0.34,0.31,0,1,1,0,0,0,NA
"FS11","Four Seasons","DICCIN",714382,9753888,"Aug 2017","8/22/2017",2018,569,0.4,0.26,1,1,1,1,0,0,NA
"FS11","Four Seasons","DICCIN",714382,9753888,"Dec 2017","12/17/2017",2018,686,0.4,0.27,0,1,1,0,0,0,NA
"FS11","Four Seasons","DICCIN",714382,9753888,"May 2018","5/30/2018",2018,850,0.33,0.19,0,1,1,0,0,0,528.627458853136
"FS11","Four Seasons","DICCIN",714382,9753888,"Oct 2018","10/13/2018",2019,986,0,0,1,0,1,0,0,0,242.311679049155
"FS11","Four Seasons","DICCIN",714382,9753888,"Feb 2019","1/30/2019",2019,1095,0,0,1,0,1,0,0,0,1654.26501096299
"FS11","Four Seasons","DICCIN",714382,9753888,"Jun 2019","6/3/2019",2019,1219,0,0,1,0,1,0,0,0,163.196336622704
"FS12","Four Seasons","DICCIN",714378,9753891,"Initial","10/2/2016",2017,246,0.19,0.12,NA,1,1,1,NA,NA,NA
"FS12","Four Seasons","DICCIN",714378,9753891,"Feb 2017","2/18/2017",2017,384,0.2,0.05,0,1,1,0,0,0,NA
"FS12","Four Seasons","DICCIN",714378,9753891,"May 2017","5/1/2017",2017,456,0.21,0.12,0,1,1,0,0,0,NA
"FS12","Four Seasons","DICCIN",714378,9753891,"Aug 2017","8/22/2017",2018,569,0.28,0.1,1,1,1,1,0,0,NA
"FS12","Four Seasons","DICCIN",714378,9753891,"Dec 2017","12/17/2017",2018,686,0.5,0.12,0,1,1,0,0,0,NA
"FS12","Four Seasons","DICCIN",714378,9753891,"May 2018","5/30/2018",2018,850,0.68,0.15,0,1,1,0,0,0,281.051445596047
"FS12","Four Seasons","DICCIN",714378,9753891,"Oct 2018","10/13/2018",2019,986,0.33,0.2,0,1,1,0,0,0,576.544399731639
"FS12","Four Seasons","DICCIN",714378,9753891,"Feb 2019","1/30/2019",2019,1095,0.24,0.3,0,1,1,0,0,0,1825.76151033822
"FS12","Four Seasons","DICCIN",714378,9753891,"Jun 2019","6/3/2019",2019,1219,0.06,0.05,1,1,1,1,9,0,148.859755199381
"FS13","Four Seasons","COMAFR",714376,9753895,"Initial","10/2/2016",2017,246,0.31,0.06,NA,1,1,1,NA,NA,NA
"FS13","Four Seasons","COMAFR",714376,9753895,"Feb 2017","2/18/2017",2017,384,0.35,0.18,0,1,1,0,0,0,NA
"FS13","Four Seasons","COMAFR",714376,9753895,"May 2017","5/1/2017",2017,456,0.39,0.39,0,1,1,0,0,0,NA
"FS13","Four Seasons","COMAFR",714376,9753895,"Aug 2017","8/22/2017",2018,569,NA,NA,1,0,1,1,0,0,NA
"FS13","Four Seasons","COMAFR",714376,9753895,"Dec 2017","12/17/2017",2018,686,NA,NA,1,0,1,1,0,0,NA
"FS13","Four Seasons","COMAFR",714376,9753895,"May 2018","5/30/2018",2018,850,0.72,0.29,0,1,1,0,0,0,236.739414445791
"FS13","Four Seasons","COMAFR",714376,9753895,"Oct 2018","10/13/2018",2019,986,0.4,0.24,0,1,1,0,0,0,350.502358358181
"FS13","Four Seasons","COMAFR",714376,9753895,"Feb 2019","1/30/2019",2019,1095,0.54,0.55,0,1,1,0,0,0,832.146137673255
"FS13","Four Seasons","COMAFR",714376,9753895,"Jun 2019","6/3/2019",2019,1219,0.4,0.2,1,1,1,0,4,0,191.960214713452
"FS14","Four Seasons","ACAROB",714368,9753916,"Initial","10/2/2016",2017,246,0.25,0.14,NA,1,1,1,NA,NA,NA
"FS14","Four Seasons","ACAROB",714368,9753916,"Feb 2017","2/18/2017",2017,384,0.5,0.38,0,1,1,0,0,0,NA
"FS14","Four Seasons","ACAROB",714368,9753916,"May 2017","5/1/2017",2017,456,0.53,0.43,0,1,1,0,0,0,NA
"FS14","Four Seasons","ACAROB",714368,9753916,"Aug 2017","8/22/2017",2018,569,0.55,0.35,1,1,1,1,0,0,NA
"FS14","Four Seasons","ACAROB",714368,9753916,"Dec 2017","12/17/2017",2018,686,0.38,0.25,1,1,1,1,0,0,NA
"FS14","Four Seasons","ACAROB",714368,9753916,"May 2018","5/30/2018",2018,850,0.68,0.48,0,1,1,0,0,0,312.405760864276
"FS14","Four Seasons","ACAROB",714368,9753916,"Oct 2018","10/13/2018",2019,986,0.44,0.17,0,1,1,0,0,0,239.325270595014
"FS14","Four Seasons","ACAROB",714368,9753916,"Feb 2019","1/30/2019",2019,1095,0.78,0.4,0,1,1,0,0,0,354.615636490112
"FS14","Four Seasons","ACAROB",714368,9753916,"Jun 2019","6/3/2019",2019,1219,0.45,0.45,1,1,1,0,2,0,125.206023458548
"FS15","Four Seasons","ACAROB",714350,9753909,"Initial","10/2/2016",2017,246,0.38,0.07,NA,1,1,1,NA,NA,NA
"FS15","Four Seasons","ACAROB",714350,9753909,"Feb 2017","2/18/2017",2017,384,0.49,0.15,0,1,1,0,0,0,NA
"FS15","Four Seasons","ACAROB",714350,9753909,"May 2017","5/1/2017",2017,456,0.49,0.21,0,1,1,0,0,0,NA
"FS15","Four Seasons","ACAROB",714350,9753909,"Aug 2017","8/22/2017",2018,569,0.15,0.1,1,1,1,1,0,0,NA
"FS15","Four Seasons","ACAROB",714350,9753909,"Dec 2017","12/17/2017",2018,686,0.44,0.22,0,1,1,0,0,0,NA
"FS15","Four Seasons","ACAROB",714350,9753909,"May 2018","5/30/2018",2018,850,0.58,0.24,0,1,1,0,0,0,515.908455301862
"FS15","Four Seasons","ACAROB",714350,9753909,"Oct 2018","10/13/2018",2019,986,0.7,0.24,0,1,1,0,0,0,292.783943630968
"FS15","Four Seasons","ACAROB",714350,9753909,"Feb 2019","1/30/2019",2019,1095,0.38,0.24,0,1,1,0,0,0,1117.40527380179
"FS15","Four Seasons","ACAROB",714350,9753909,"Jun 2019","6/3/2019",2019,1219,0.57,0.21,1,1,1,0,6,0,70.9286133523884
"FS16","Four Seasons","ACAROB",714345,9753914,"Initial","10/2/2016",2017,246,0.55,0.25,NA,1,1,1,NA,NA,NA
"FS16","Four Seasons","ACAROB",714345,9753914,"Feb 2017","2/18/2017",2017,384,0.62,0.09,0,1,1,1,0,0,NA
"FS16","Four Seasons","ACAROB",714345,9753914,"May 2017","5/1/2017",2017,456,0.78,0.58,0,1,1,0,0,0,NA
"FS16","Four Seasons","ACAROB",714345,9753914,"Aug 2017","8/22/2017",2018,569,NA,NA,1,0,1,1,0,0,NA
"FS16","Four Seasons","ACAROB",714345,9753914,"Dec 2017","12/17/2017",2018,686,0.28,0.3,0,1,1,0,0,0,NA
"FS16","Four Seasons","ACAROB",714345,9753914,"May 2018","5/30/2018",2018,850,0.74,0.5,0,1,1,0,0,0,367.035363183016
"FS16","Four Seasons","ACAROB",714345,9753914,"Oct 2018","10/13/2018",2019,986,0,0,1,0,1,0,0,0,206.344300504769
"FS16","Four Seasons","ACAROB",714345,9753914,"Feb 2019","1/30/2019",2019,1095,0.45,0.28,0,1,1,0,0,0,597.532750109848
"FS16","Four Seasons","ACAROB",714345,9753914,"Jun 2019","6/3/2019",2019,1219,0.4,0.15,1,1,1,0,7,0,62.9112029431071
"FS17","Four Seasons","ACAROB",714343,9753918,"Initial","10/2/2016",2017,246,0.34,0.03,NA,1,1,1,NA,NA,NA
"FS17","Four Seasons","ACAROB",714343,9753918,"Feb 2017","2/18/2017",2017,384,0.49,0.5,0,1,1,0,0,0,NA
"FS17","Four Seasons","ACAROB",714343,9753918,"May 2017","5/1/2017",2017,456,0.61,0.5,0,1,1,0,0,0,NA
"FS17","Four Seasons","ACAROB",714343,9753918,"Aug 2017","8/22/2017",2018,569,0.68,0.1,1,1,1,1,0,0,NA
"FS17","Four Seasons","ACAROB",714343,9753918,"Dec 2017","12/17/2017",2018,686,0.82,0.32,0,1,1,0,0,0,NA
"FS17","Four Seasons","ACAROB",714343,9753918,"May 2018","5/30/2018",2018,850,0.74,0.36,1,1,1,1,0,0,405.873367949187
"FS17","Four Seasons","ACAROB",714343,9753918,"Oct 2018","10/13/2018",2019,986,0.62,0.4,0,1,1,0,0,0,216.708519498894
"FS17","Four Seasons","ACAROB",714343,9753918,"Feb 2019","1/30/2019",2019,1095,0.76,0.37,0,1,1,0,0,0,606.833294770006
"FS17","Four Seasons","ACAROB",714343,9753918,"Jun 2019","6/3/2019",2019,1219,0.42,0.46,1,1,1,0,5,0,107.159589108483
"FS18","Four Seasons","ACAROB",714351,9753938,"Initial","10/2/2016",2017,246,0.29,0.14,NA,1,1,1,NA,NA,NA
"FS18","Four Seasons","ACAROB",714351,9753938,"Feb 2017","2/18/2017",2017,384,NA,NA,1,0,1,0,0,0,NA
"FS18","Four Seasons","ACAROB",714351,9753938,"May 2017","5/1/2017",2017,456,NA,NA,0,0,1,0,0,0,NA
"FS18","Four Seasons","ACAROB",714351,9753938,"Aug 2017","8/22/2017",2018,569,NA,NA,1,0,1,1,0,0,NA
"FS18","Four Seasons","ACAROB",714351,9753938,"Dec 2017","12/17/2017",2018,686,NA,NA,1,0,1,1,0,0,NA
"FS18","Four Seasons","ACAROB",714351,9753938,"May 2018","5/30/2018",2018,850,0,0,1,0,1,1,0,0,236.319298552563
"FS18","Four Seasons","ACAROB",714351,9753938,"Oct 2018","10/13/2018",2019,986,0,0,1,0,1,0,0,0,195.246819599186
"FS18","Four Seasons","ACAROB",714351,9753938,"Feb 2019","1/30/2019",2019,1095,0,0,1,0,1,0,0,0,307.925231185754
"FS18","Four Seasons","ACAROB",714351,9753938,"Jun 2019","6/3/2019",2019,1219,0,0,1,0,1,0,0,0,103.044807813627
"FS19","Four Seasons","COMAFR",714341,9753932,"Initial","10/2/2016",2017,246,0.22,0.03,NA,1,1,1,NA,NA,NA
"FS19","Four Seasons","COMAFR",714341,9753932,"Feb 2017","2/18/2017",2017,384,0.45,0.05,0,1,1,0,0,0,NA
"FS19","Four Seasons","COMAFR",714341,9753932,"May 2017","5/1/2017",2017,456,0.49,0.3,0,1,1,0,0,0,NA
"FS19","Four Seasons","COMAFR",714341,9753932,"Aug 2017","8/22/2017",2018,569,0.53,0.11,1,1,1,1,0,0,NA
"FS19","Four Seasons","COMAFR",714341,9753932,"Dec 2017","12/17/2017",2018,686,0.72,0.14,0,1,1,0,0,0,NA
"FS19","Four Seasons","COMAFR",714341,9753932,"May 2018","5/30/2018",2018,850,0.98,0.23,0,1,1,0,0,0,417.232903216314
"FS19","Four Seasons","COMAFR",714341,9753932,"Oct 2018","10/13/2018",2019,986,0.9,0.24,0,1,1,0,0,0,243.515783685456
"FS19","Four Seasons","COMAFR",714341,9753932,"Feb 2019","1/30/2019",2019,1095,0.9,0.25,0,1,1,0,0,0,528.534936613055
"FS19","Four Seasons","COMAFR",714341,9753932,"Jun 2019","6/3/2019",2019,1219,0.14,0.08,1,1,1,1,9,0,62.1415602654853
"FS20","Four Seasons","ACASEN",714326,9753940,"Initial","10/2/2016",2017,246,0.41,0.08,NA,1,1,1,NA,NA,NA
"FS20","Four Seasons","ACASEN",714326,9753940,"Feb 2017","2/18/2017",2017,384,0.52,0.1,1,1,1,0,0,NA,NA
"FS20","Four Seasons","ACASEN",714326,9753940,"May 2017","5/1/2017",2017,456,0.64,0.41,0,1,1,0,0,0,NA
"FS20","Four Seasons","ACASEN",714326,9753940,"Aug 2017","8/22/2017",2018,569,0.35,0.14,1,1,1,1,0,0,NA
"FS20","Four Seasons","ACASEN",714326,9753940,"Dec 2017","12/17/2017",2018,686,0.48,0.28,0,1,1,0,0,0,NA
"FS20","Four Seasons","ACASEN",714326,9753940,"May 2018","5/30/2018",2018,850,1.01,0.42,0,1,1,0,0,0,273.873974027586
"FS20","Four Seasons","ACASEN",714326,9753940,"Oct 2018","10/13/2018",2019,986,1.7,0.56,0,1,1,0,0,0,222.896475678996
"FS20","Four Seasons","ACASEN",714326,9753940,"Feb 2019","1/30/2019",2019,1095,0.7,0.28,1,1,1,1,0,0,457.128904820847
"FS20","Four Seasons","ACASEN",714326,9753940,"Jun 2019","6/3/2019",2019,1219,0.24,0.19,0,1,1,0,0,0,68.7051284433143
"FS21","Four Seasons","ACAROB",714333,9753944,"Initial","10/2/2016",2017,246,0.28,0.13,NA,1,1,1,NA,NA,NA
"FS21","Four Seasons","ACAROB",714333,9753944,"Feb 2017","2/18/2017",2017,384,0.65,0.35,0,1,1,0,0,0,NA
"FS21","Four Seasons","ACAROB",714333,9753944,"May 2017","5/1/2017",2017,456,0.65,0.53,0,1,1,0,0,0,NA
"FS21","Four Seasons","ACAROB",714333,9753944,"Aug 2017","8/22/2017",2018,569,0.42,0.12,1,1,1,1,0,0,NA
"FS21","Four Seasons","ACAROB",714333,9753944,"Dec 2017","12/17/2017",2018,686,NA,NA,1,0,1,1,0,0,NA
"FS21","Four Seasons","ACAROB",714333,9753944,"May 2018","5/30/2018",2018,850,0.4,0.33,0,1,1,0,0,0,309.254319502957
"FS21","Four Seasons","ACAROB",714333,9753944,"Oct 2018","10/13/2018",2019,986,0.55,0.46,0,1,1,0,0,0,270.048666110813
"FS21","Four Seasons","ACAROB",714333,9753944,"Feb 2019","1/30/2019",2019,1095,0.54,0.5,0,1,1,0,0,0,332.242914217628
"FS21","Four Seasons","ACAROB",714333,9753944,"Jun 2019","6/3/2019",2019,1219,0.34,0.1,1,1,1,0,4,0,79.9687769105034
"FS22","Four Seasons","ACAROB",714351,9753956,"Initial","10/2/2016",2017,246,0.56,0.09,NA,1,1,1,NA,NA,NA
"FS22","Four Seasons","ACAROB",714351,9753956,"Feb 2017","2/18/2017",2017,384,0.75,0.3,0,1,1,0,0,0,NA
